EL,ER,SL,SR,type
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
82,82,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
81,81,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
80,80,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
79,79,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
78,78,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
77,77,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
76,76,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
75,75,87,87,2
74,74,87,87,2
74,74,87,87,2
74,74,87,87,2
74,74,87,87,2
74,74,87,87,2
74,74,87,87,2
74,74,87,87,2
73,73,87,87,2
73,73,87,87,2
72,72,87,87,2
72,72,87,87,2
71,71,87,87,2
71,71,87,87,2
71,71,87,87,2
87,87,88,88,2
87,87,88,88,2
87,87,88,88,2
87,87,88,88,2
87,87,88,88,2
87,87,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
86,86,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
85,85,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
84,84,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
83,83,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
82,82,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
81,81,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
80,80,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
79,79,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
78,78,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
77,77,88,88,2
76,76,88,88,2
76,76,88,88,2
76,76,88,88,2
76,76,88,88,2
76,76,88,88,2
76,76,88,88,2
76,76,88,88,2
76,76,88,88,2
75,75,88,88,2
75,75,88,88,2
75,75,88,88,2
75,75,88,88,2
75,75,88,88,2
75,75,88,88,2
75,75,88,88,2
75,75,88,88,2
74,74,88,88,2
74,74,88,88,2
74,74,88,88,2
74,74,88,88,2
73,73,88,88,2
71,71,88,88,2
88,88,89,89,2
88,88,89,89,2
88,88,89,89,2
88,88,89,89,2
88,88,89,89,2
88,88,89,89,2
88,88,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
87,87,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
86,86,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
85,85,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
84,84,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
83,83,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
82,82,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
78,78,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
77,77,89,89,2
76,76,89,89,2
76,76,89,89,2
76,76,89,89,2
76,76,89,89,2
76,76,89,89,2
75,75,89,89,2
75,75,89,89,2
75,75,89,89,2
75,75,89,89,2
74,74,89,89,2
89,89,90,90,2
89,89,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
